"Qty";"Value";"Device";"Package";"Parts";"Description";"POPULARITY";"SPICEPREFIX";
"1";"";"16MM.1";"16MM_B.MOUNT";"TIME";"16mm Poteniometers";"";"";
"1";"";"DO41.3";"DO41-3";"D1";"1N400x, 1N5817";"";"";
"1";"";"PT2399_TH";"DIP16";"IC3";"Delay";"";"";
"1";"";"SPDT.LUGS";"SPDT.LUGS";"SPD";"SPDT Switches";"";"";
"4";"100k";"R-US_0204/7";"0204/7";"R2, R4, R8, R29";"RESISTOR, American symbol";"";"R";
"6";"100n";"C-EU050-025X075";"C050-025X075";"C1, C5, C8, C9, C14, C15";"CAPACITOR, European symbol";"";"C";
"2";"100p";"C-EU050-025X075";"C050-025X075";"C2, C28";"CAPACITOR, European symbol";"";"C";
"2";"100u";"CPOL-USE2.5-6";"E2,5-6";"C3, C7";"POLARIZED CAPACITOR, American symbol";"";"C";
"6";"10k";"R-US_0204/7";"0204/7";"R5, R6, R12, R15, R16, R18";"RESISTOR, American symbol";"";"R";
"4";"10n";"C-EU050-025X075";"C050-025X075";"C10, C20, C21, C30";"CAPACITOR, European symbol";"";"C";
"2";"10u";"CPOL-USE2.5-6";"E2,5-6";"C18, C19";"POLARIZED CAPACITOR, American symbol";"";"C";
"2";"12k";"R-US_0204/7";"0204/7";"R13, R14";"RESISTOR, American symbol";"";"R";
"1";"1M";"R-US_0204/7";"0204/7";"R1";"RESISTOR, American symbol";"";"R";
"4";"1N4148";"DO35.3";"DO35-3";"D3, D4, D7, D8";"1n914, BAT4x, 1n34a";"";"";
"1";"1k";"R-US_0204/7";"0204/7";"R21";"RESISTOR, American symbol";"";"R";
"1";"1k8";"R-US_0204/7";"0204/7";"R20";"RESISTOR, American symbol";"";"R";
"4";"1u";"C-EU050-055X075";"C050-055X075";"C16, C22, C27, C29";"CAPACITOR, European symbol";"";"C";
"2";"220k";"R-US_0204/7";"0204/7";"R10, R25";"RESISTOR, American symbol";"";"R";
"4";"22k";"R-US_0204/7";"0204/7";"R19, R24, R27, R33";"RESISTOR, American symbol";"";"R";
"2";"22n";"C-EU050-025X075";"C050-025X075";"C24, C25";"CAPACITOR, European symbol";"";"C";
"2";"2k2";"R-US_0204/7";"0204/7";"R7, R22";"RESISTOR, American symbol";"";"R";
"1";"2n2";"C-EU050-025X075";"C050-025X075";"C12";"CAPACITOR, European symbol";"";"C";
"2";"39k";"R-US_0204/7";"0204/7";"R11, R17";"RESISTOR, American symbol";"";"R";
"1";"3n3";"C-EU050-025X075";"C050-025X075";"C13";"CAPACITOR, European symbol";"";"C";
"1";"47k";"R-US_0204/7";"0204/7";"R28";"RESISTOR, American symbol";"";"R";
"1";"47n";"C-EU050-025X075";"C050-025X075";"C23";"CAPACITOR, European symbol";"";"C";
"2";"47u";"CPOL-USE2.5-6";"E2,5-6";"C4, C6";"POLARIZED CAPACITOR, American symbol";"";"C";
"4";"4k7";"R-US_0204/7";"0204/7";"R23, R26, R31, R32";"RESISTOR, American symbol";"";"R";
"2";"4n7";"C-EU050-025X075";"C050-025X075";"C11, C17";"CAPACITOR, European symbol";"";"C";
"1";"4u7";"CPOL-USE2.5-6";"E2,5-6";"C26";"POLARIZED CAPACITOR, American symbol";"";"C";
"1";"68k";"R-US_0204/7";"0204/7";"R9";"RESISTOR, American symbol";"";"R";
"1";"6k8";"R-US_0204/7";"0204/7";"R30";"RESISTOR, American symbol";"";"R";
"1";"B10k";"16MM.1";"16MM_B.MOUNT";"DEPTH";"16mm Poteniometers";"";"";
"1";"B250k";"DUALGANG.2";"16MM_DUALGANG";"GRIT";"Dual-Gan Potentiometers";"";"";
"1";"B25k";"16MM.1";"16MM_B.MOUNT";"TONE";"16mm Poteniometers";"";"";
"2";"B50k";"16MM.1";"16MM_B.MOUNT";"FB, MIX";"16mm Poteniometers";"";"";
"1";"LED.3";"LED.3";"3MM_2";"D2";"LEDs, all sizes";"";"";
"1";"LM78L.";"LM78L.";"TO92";"REG1";"TO-92 Type, 100mA";"";"";
"8";"LSP10";"LSP10";"LSP10";"+9V, GND, GND_IN, GND_OUT, IN, LED, OUT, SW";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"1";"RLED";"R-US_0204/7";"0204/7";"R3";"RESISTOR, American symbol";"";"R";
"1";"TL072P";"TL072P";"DIL08";"IC1";"OP AMP";"13";"";
"1";"TL074P";"TL074P";"DIL14";"IC2";"OP AMP";"0";"";
